	mock_6h_1	mock_6h_2	mock_6h_3	D36E_6h_1	D36E_6h_2	D36E_6h_3
AT1G01010	122	218	156	2111	1758	1561
AT1G01020	94	193	130	188	131	103
AT1G01030	33	54	22	129	92	75
AT1G01040	544	963	945	1350	1084	818
AT1G01046	0	0	1	0	0	0
AT1G01050	391	1067	982	246	288	211
AT1G01060	12	3	4	18	21	11
AT1G01070	46	42	33	115	80	95
AT1G01080	941	2055	1918	80	144	129
AT1G01090	1566	2599	2906	1168	1290	1042
AT1G01100	711	1610	1604	1348	1416	985
AT1G01110	8	3	10	4	4	7
AT1G01120	1892	2367	4503	1330	1331	1250
AT1G01130	2	10	8	8	1	3
AT1G01140	979	1795	1692	343	332	291
AT1G01150	0	0	0	1	0	0
AT1G01160	255	420	446	338	277	263
AT1G01170	439	687	575	120	118	110
AT1G01180	260	301	307	288	429	303
AT1G01183	0	0	0	0	0	0
AT1G01190	80	119	105	45	33	23
AT1G01200	9	16	23	3	2	3
AT1G01210	91	235	218	199	169	159
AT1G01220	423	875	869	693	553	544
AT1G01225	26	28	23	35	26	18
AT1G01230	384	461	474	889	774	724
AT1G01240	538	486	380	394	438	308
AT1G01250	54	79	130	9	28	19
AT1G01260	131	274	284	326	217	199
AT1G01270	0	0	0	0	0	0
AT1G01280	0	0	0	0	0	0
AT1G01290	80	176	171	127	119	109
AT1G01300	596	1004	1327	466	419	382
AT1G01305	0	0	0	0	0	0
AT1G01310	0	0	0	0	0	0
AT1G01320	6658	15793	16197	646	790	787
AT1G01335	0	0	0	0	0	0
AT1G01340	170	276	200	1309	1414	1037
AT1G01350	149	355	313	559	443	407
AT1G01355	1	0	1	0	0	0
AT1G01360	134	178	200	123	123	88
AT1G01370	2	18	5	13	9	9
AT1G01380	1	5	8	2	1	0
AT1G01390	55	107	116	17	27	24
AT1G01400	0	0	0	0	1	0
AT1G01410	0	0	0	0	0	0
AT1G01420	245	401	490	69	115	92
AT1G01430	965	1207	1475	135	231	169
AT1G01440	272	453	424	719	598	466
AT1G01448	103	240	199	78	50	89
AT1G01450	0	0	0	0	0	0
AT1G01453	1	0	0	0	0	0
AT1G01460	1	0	0	0	0	0
AT1G01470	2862	3761	3775	4341	3610	2952
AT1G01480	10	2	9	566	405	342
AT1G01490	586	859	861	1011	1044	918
AT1G01500	431	740	809	812	784	679
AT1G01510	334	588	670	439	415	335
AT1G01520	4	0	0	2	2	2
AT1G01530	0	4	1	0	0	0
AT1G01540	768	1598	1687	718	691	548
AT1G01550	1599	2395	2245	5341	4948	4257
AT1G01560	91	254	222	1586	1274	1064
AT1G01570	13	19	29	16	21	21
AT1G01580	30	22	16	11	12	11
AT1G01590	4	13	7	0	0	0
AT1G01600	14	16	33	3	4	0
AT1G01610	1443	1547	2878	501	681	619
AT1G01620	2237	3252	4273	1080	1256	950
AT1G01630	538	1048	1377	572	617	518
AT1G01640	23	31	21	30	12	15
AT1G01650	466	917	908	1718	1419	1108
AT1G01660	16	28	26	45	34	13
AT1G01670	46	75	75	75	103	41
AT1G01680	160	237	225	1568	1384	771
AT1G01690	27	37	52	41	46	21
AT1G01695	3	4	5	5	5	4
AT1G01700	12	8	9	6	11	6
AT1G01710	289	574	545	348	390	293
AT1G01715	13	24	24	21	14	4
AT1G01720	126	261	298	1581	973	991
AT1G01725	32	83	47	72	64	43
AT1G01730	158	248	225	842	796	648
AT1G01740	62	112	83	39	34	18
AT1G01750	0	0	0	0	0	2
AT1G01760	22	18	34	17	15	18
AT1G01770	332	546	519	134	76	87
AT1G01780	90	153	136	41	40	26
AT1G01790	2547	4440	4570	1355	1342	1227
AT1G01800	598	1351	1415	874	796	738
AT1G01810	3	6	9	3	13	5
AT1G01820	880	1392	1178	1710	1319	1223
AT1G01830	196	353	461	100	142	142
AT1G01840	17	31	16	4	1	0
AT1G01860	230	377	365	37	52	38
AT1G01870	0	0	0	0	0	0
AT1G01880	10	19	29	7	2	4
AT1G01890	0	0	0	0	0	0
AT1G01900	146	244	298	36	59	46
AT1G01910	563	952	942	1464	1182	1050
AT1G01920	148	284	255	399	250	248
AT1G01930	183	265	280	305	279	254
AT1G01940	60	169	171	141	122	126
AT1G01950	145	329	313	574	360	351
AT1G01960	1139	2179	2304	2506	2074	1894
AT1G01970	445	945	857	98	131	88
AT1G01980	0	0	0	0	0	0
AT1G01990	243	560	458	450	364	324
AT1G02000	87	176	197	324	305	277
AT1G02010	110	195	185	128	115	95
AT1G02020	258	487	437	347	363	313
AT1G02030	1	1	1	11	9	2
AT1G02040	0	0	0	0	0	0
AT1G02050	68	132	109	38	51	51
AT1G02060	57	102	90	78	39	45
AT1G02065	0	0	0	0	0	0
AT1G02067	0	0	0	0	0	0
AT1G02070	1	0	0	1	0	0
AT1G02080	1144	2289	2124	2636	1932	1970
AT1G02090	292	576	559	884	725	635
AT1G02100	269	484	455	1001	769	603
AT1G02110	172	229	279	98	94	65
AT1G02120	1152	1969	1919	4183	3194	2761
AT1G02130	355	620	596	736	561	433
AT1G02140	790	1574	1653	1671	1493	1129
AT1G02145	161	338	282	131	118	89
AT1G02150	1561	2917	3236	576	660	561
AT1G02160	136	229	266	118	156	115
AT1G02170	425	719	768	3058	3068	2366
AT1G02180	17	32	68	3	3	10
AT1G02190	5	0	5	1	3	2
AT1G02205	518	1441	2283	170	448	181
AT1G02210	0	0	0	0	0	0
AT1G02220	23	79	72	403	292	285
AT1G02230	60	72	90	488	400	257
AT1G02250	0	0	1	4	3	0
AT1G02260	280	498	483	239	209	227
AT1G02270	477	699	582	1570	1229	896
AT1G02280	368	904	976	193	161	142
AT1G02290	100	156	139	52	64	51
AT1G02300	582	756	606	150	121	116
AT1G02305	1167	1880	1866	680	828	589
AT1G02310	1	0	2	7	1	0
AT1G02320	0	0	0	0	0	0
AT1G02330	175	418	425	790	660	477
AT1G02335	30	86	90	71	69	56
AT1G02340	21	19	14	6	4	2
AT1G02350	4	10	14	2	6	2
AT1G02360	131	183	251	3148	2846	2557
AT1G02370	65	177	169	90	39	51
AT1G02380	22	29	25	38	42	26
AT1G02390	64	125	189	416	378	356
AT1G02400	205	160	223	999	783	756
AT1G02405	3	10	5	15	9	13
AT1G02410	163	337	256	454	360	305
AT1G02420	51	82	82	101	70	50
AT1G02430	0	1	0	63	75	81
AT1G02440	2	10	8	86	138	120
AT1G02450	164	352	327	2454	2215	1516
AT1G02460	211	287	189	680	585	455
AT1G02470	4	10	2	5	3	8
AT1G02475	671	1822	1371	377	358	346
AT1G02480	0	0	0	0	0	0
AT1G02490	0	0	0	0	0	0
AT1G02500	3075	4308	4682	21042	19490	16193
AT1G02510	0	0	0	0	0	0
AT1G02520	13	19	10	689	663	464
AT1G02530	2	0	0	1	0	0
AT1G02540	0	0	0	0	0	0
AT1G02550	0	0	0	2	0	0
AT1G02560	2946	5779	5750	1681	2012	1601
AT1G02570	0	0	0	0	0	0
AT1G02575	0	0	0	0	0	0
AT1G02580	1	0	0	7	13	9
AT1G02590	0	0	0	0	0	0
AT1G02600	0	0	0	0	0	0
AT1G02610	91	56	22	96	59	61
AT1G02620	12	13	8	8	1	1
AT1G02630	0	0	3	0	0	0
AT1G02640	31	44	62	22	25	22
AT1G02650	6	5	8	53	41	38
AT1G02660	107	102	78	355	265	206
AT1G02670	3	3	29	5	9	2
AT1G02680	83	173	136	161	133	109
AT1G02690	24	74	36	48	59	31
AT1G02700	2	5	2	7	3	6
AT1G02705	15	39	29	43	50	35
AT1G02710	0	0	0	0	0	0
AT1G02720	72	142	174	58	67	56
AT1G02730	41	106	80	28	44	10
AT1G02740	69	138	119	384	267	185
AT1G02750	118	187	121	377	333	248
AT1G02760	0	0	0	0	0	0
AT1G02770	2	7	7	3	7	7
AT1G02780	3960	9364	9872	9183	8546	6361
AT1G02790	0	0	1	0	0	0
AT1G02800	0	1	2	1	0	0
AT1G02810	0	0	1	0	0	0
AT1G02813	0	0	0	0	0	0
AT1G02816	90	121	117	190	136	96
AT1G02820	28	32	28	33	43	38
AT1G02830	0	0	0	0	0	0
AT1G02840	729	1372	1489	2386	2415	1740
AT1G02850	51	138	114	304	209	160
AT1G02860	172	197	169	350	267	318
AT1G02870	86	216	207	290	225	168
AT1G02880	98	254	245	313	340	252
AT1G02890	1221	2105	2016	2144	1714	1760
AT1G02900	7	1	2	21	12	18
AT1G02910	814	1691	1511	1060	988	825
AT1G02920	767	1127	816	78132	82763	68093
AT1G02930	2748	3232	2857	144167	140290	115165
AT1G02940	1	4	2	11	13	12
AT1G02950	41	70	45	61	38	38
AT1G02952	0	0	0	0	0	0
AT1G02960	151	303	263	180	116	97
AT1G02965	0	0	0	2	0	0
AT1G02970	2	18	14	2	2	6
AT1G02980	0	0	0	1	0	0
AT1G02990	363	630	561	1076	794	887
AT1G03000	393	694	591	350	283	256
AT1G03010	2	1	7	0	0	0
AT1G03020	25	66	25	30	16	28
AT1G03030	122	230	229	250	197	166
AT1G03040	357	797	740	897	738	640
AT1G03050	0	0	0	3	5	0
AT1G03055	23	57	73	20	38	15
AT1G03060	792	1832	2164	4849	3919	4152
AT1G03070	3	9	7	6	4	2
AT1G03080	1254	2253	2394	2716	2463	2399
AT1G03090	316	440	370	100	101	83
AT1G03100	43	115	90	40	25	40
AT1G03103	0	0	0	0	0	0
AT1G03106	0	0	0	5	5	6
AT1G03110	43	129	114	122	81	86
AT1G03120	1	3	4	0	0	1
AT1G03130	17243	19345	19274	4221	7143	5641
AT1G03140	385	664	666	1530	1271	962
AT1G03150	172	218	186	369	235	253
AT1G03160	1246	2355	2525	853	728	649
AT1G03165	6	2	7	4	6	5
