KO	pval	FoldEnrichment	genes	size	updown
ABC transporters	3.79075432771396e-06	3.34709169418339	K17317---gtsC, glcG; glucose/mannose transport system permease protein|K10117---msmE; raffinose/stachyose/melibiose transport system substrate-binding protein|K09690---ABC-2.LPSE.P; lipopolysaccharide transport system permease protein|K10441---rbsA; ribose transport system ATP-binding protein [EC:3.6.3.17]|K10543---xylF; D-xylose transport system substrate-binding protein|K01997---livH; branched-chain amino acid transport system permease protein|K17317---gtsC, glcG; glucose/mannose transport system permease protein|K10233---aglF, ggtC; alpha-glucoside transport system permease protein|K10232---aglE, ggtB; alpha-glucoside transport system substrate-binding protein|K16784---bioM; biotin transport system ATP-binding protein [EC:3.6.3.-]|K02015---ABC.FEV.P; iron complex transport system permease protein|K10440---rbsC; ribose transport system permease protein|K17317---gtsC, glcG; glucose/mannose transport system permease protein|K17317---gtsC, glcG; glucose/mannose transport system permease protein|K10441---rbsA; ribose transport system ATP-binding protein [EC:3.6.3.17]	15	up
DNA repair and recombination proteins [BR:ko03400]	0	6.91732283464567	K03111---ssb; single-strand DNA-binding protein|K14161---imuB; protein ImuB|K02337---dnaE; DNA polymerase III subunit alpha [EC:2.7.7.7]|K03657---uvrD, pcrA; DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]|K03043---rpoB; DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]|K04485---radA, sms; DNA repair protein RadA/Sms|K03654---recQ; ATP-dependent DNA helicase RecQ [EC:3.6.4.12]|K02338---dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]|K10778---ada; AraC family transcriptional regulator, regulatory protein of adaptative response / methylated-DNA-[protein]-cysteine methyltransferase [EC:2.1.1.63]|K01669---phrB; deoxyribodipyrimidine photo-lyase [EC:4.1.99.3]|K03652---MPG; DNA-3-methyladenine glycosylase [EC:3.2.2.21]|K10979---ku; DNA end-binding protein Ku|K03654---recQ; ATP-dependent DNA helicase RecQ [EC:3.6.4.12]|K03701---uvrA; excinuclease ABC subunit A|K02342---dnaQ; DNA polymerase III subunit epsilon [EC:2.7.7.7]|K03702---uvrB; excinuclease ABC subunit B|K02335---polA; DNA polymerase I [EC:2.7.7.7]	17	up
Enzymes with EC numbers	4.16148437215682e-11	4.69389763779528	K03207---wcaH; colanic acid biosynthesis protein WcaH [EC:3.6.1.-]|K18455---mca; mycothiol S-conjugate amidase [EC:3.5.1.115]|K03424---tatD; TatD DNase family protein [EC:3.1.21.-]|K21430---yliI; aldose sugar dehydrogenase [EC:1.1.5.-]|K01104---E3.1.3.48; protein-tyrosine phosphatase [EC:3.1.3.48]|K22441---paiA; diamine N-acetyltransferase [EC:2.3.1.57]|K13979---yahK; uncharacterized zinc-type alcohol dehydrogenase-like protein [EC:1.-.-.-]|K05989---ramA; alpha-L-rhamnosidase [EC:3.2.1.40]|K09022---ridA, tdcF, RIDA; 2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]|K01066---aes; acetyl esterase [EC:3.1.1.-]|K03564---BCP, PRXQ, DOT5; peroxiredoxin Q/BCP [EC:1.11.1.15]|K20938---ladA; long-chain alkane monooxygenase [EC:1.14.14.28]|K19265---gpr; L-glyceraldehyde 3-phosphate reductase [EC:1.1.1.-]|K05989---ramA; alpha-L-rhamnosidase [EC:3.2.1.40]|K03929---pnbA; para-nitrobenzyl esterase [EC:3.1.1.-]|K03534---rhaM; L-rhamnose mutarotase [EC:5.1.3.32]|K07304---msrA; peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]|K06988---fno; 8-hydroxy-5-deazaflavin:NADPH oxidoreductase [EC:1.5.1.40]|K02846---solA; N-methyl-L-tryptophan oxidase [EC:1.5.3.-]	19	up
Exosome [BR:ko04147]	0	6.91732283464567	K01897---ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]|K00088---IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]|K00036---G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]|K00036---G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]|K01803---TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]|K00864---glpK, GK; glycerol kinase [EC:2.7.1.30]|K01251---E3.3.1.1, ahcY; adenosylhomocysteinase [EC:3.3.1.1]|K01755---argH, ASL; argininosuccinate lyase [EC:4.3.2.1]|K01803---TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]|K01897---ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]|K07192---FLOT; flotillin|K00626---E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]|K01915---glnA, GLUL; glutamine synthetase [EC:6.3.1.2]	13	up
Fructose and mannose metabolism	0	20.751968503937	K01805---xylA; xylose isomerase [EC:5.3.1.5]|K01803---TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]|K01808---rpiB; ribose 5-phosphate isomerase B [EC:5.3.1.6]|K00863---DAK, TKFC; triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing) [EC:2.7.1.28 2.7.1.29 4.6.1.15]|K00850---pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]|K01803---TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]	6	up
Function unknown	0	41.503937007874	K09118---K09118; uncharacterized protein|K09932---K09932; uncharacterized protein|K07149---K07149; uncharacterized protein|K07003---K07003; uncharacterized protein|K06975---K06975; uncharacterized protein|K07118---K07118; uncharacterized protein	6	up
General function prediction only	0	9.68425196850394	K06876---K06876; deoxyribodipyrimidine photolyase-related protein|K09858---K09858; SEC-C motif domain protein|K01421---yhgE; putative membrane protein|K01421---yhgE; putative membrane protein|K08986---ycgQ; putative membrane protein|K04750---phnB; PhnB protein|K03925---mraZ; MraZ protein	7	up
Glutathione metabolism	0	6.91732283464567	K00031---IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]|K00797---speE, SRM; spermidine synthase [EC:2.5.1.16]|K00036---G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]|K00036---G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]|K00033---PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]|K00432---gpx; glutathione peroxidase [EC:1.11.1.9]	6	up
Homologous recombination	0	34.5866141732283	K03111---ssb; single-strand DNA-binding protein|K02337---dnaE; DNA polymerase III subunit alpha [EC:2.7.7.7]|K02338---dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]|K02342---dnaQ; DNA polymerase III subunit epsilon [EC:2.7.7.7]|K02335---polA; DNA polymerase I [EC:2.7.7.7]	5	up
Lipid biosynthesis proteins [BR:ko01004]	0.00696063980025506	3.14423765211167	K01897---ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]|K00059---fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]|K00059---fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]|K01897---ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]|K09458---fabF; 3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]	5	up
Mismatch repair	0.00171599838277846	3.8429571303587	K03111---ssb; single-strand DNA-binding protein|K02337---dnaE; DNA polymerase III subunit alpha [EC:2.7.7.7]|K03657---uvrD, pcrA; DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]|K02338---dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]|K02342---dnaQ; DNA polymerase III subunit epsilon [EC:2.7.7.7]	5	up
Pentose phosphate pathway	0	48.4212598425197	K00036---G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]|K00036---G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]|K01808---rpiB; ribose 5-phosphate isomerase B [EC:5.3.1.6]|K00874---kdgK; 2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]|K00033---PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]|K00850---pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]|K00874---kdgK; 2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]	7	up
