KO	pval	FoldEnrichment	genes	size	cluster
ABC transporters	1.47984899452214e-05	3.45108408249603	K17317---gtsC, glcG; glucose/mannose transport system permease protein|K09690---ABC-2.LPSE.P; lipopolysaccharide transport system permease protein|K10441---rbsA; ribose transport system ATP-binding protein [EC:3.6.3.17]|K10543---xylF; D-xylose transport system substrate-binding protein|K01997---livH; branched-chain amino acid transport system permease protein|K17317---gtsC, glcG; glucose/mannose transport system permease protein|K10233---aglF, ggtC; alpha-glucoside transport system permease protein|K10232---aglE, ggtB; alpha-glucoside transport system substrate-binding protein|K16784---bioM; biotin transport system ATP-binding protein [EC:3.6.3.-]|K10440---rbsC; ribose transport system permease protein|K17317---gtsC, glcG; glucose/mannose transport system permease protein|K17317---gtsC, glcG; glucose/mannose transport system permease protein|K10441---rbsA; ribose transport system ATP-binding protein [EC:3.6.3.17]	13	up_nonPA
DNA repair and recombination proteins [BR:ko03400]	0	9.49558638083228	K03111---ssb; single-strand DNA-binding protein|K02337---dnaE; DNA polymerase III subunit alpha [EC:2.7.7.7]|K03657---uvrD, pcrA; DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]|K03043---rpoB; DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]|K04485---radA, sms; DNA repair protein RadA/Sms|K03654---recQ; ATP-dependent DNA helicase RecQ [EC:3.6.4.12]|K02338---dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]|K01669---phrB; deoxyribodipyrimidine photo-lyase [EC:4.1.99.3]|K03652---MPG; DNA-3-methyladenine glycosylase [EC:3.2.2.21]|K10979---ku; DNA end-binding protein Ku|K03654---recQ; ATP-dependent DNA helicase RecQ [EC:3.6.4.12]|K03701---uvrA; excinuclease ABC subunit A|K02342---dnaQ; DNA polymerase III subunit epsilon [EC:2.7.7.7]|K03702---uvrB; excinuclease ABC subunit B|K02335---polA; DNA polymerase I [EC:2.7.7.7]	15	up_nonPA
DNA replication proteins [BR:ko03032]	0	10.2868852459016	K03111---ssb; single-strand DNA-binding protein|K02337---dnaE; DNA polymerase III subunit alpha [EC:2.7.7.7]|K02338---dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]|K02342---dnaQ; DNA polymerase III subunit epsilon [EC:2.7.7.7]|K02335---polA; DNA polymerase I [EC:2.7.7.7]	5	up_nonPA
Enzymes with EC numbers	5.48240119094102e-09	5.80906460945034	K03207---wcaH; colanic acid biosynthesis protein WcaH [EC:3.6.1.-]|K03424---tatD; TatD DNase family protein [EC:3.1.21.-]|K21430---yliI; aldose sugar dehydrogenase [EC:1.1.5.-]|K01104---E3.1.3.48; protein-tyrosine phosphatase [EC:3.1.3.48]|K22441---paiA; diamine N-acetyltransferase [EC:2.3.1.57]|K13979---yahK; uncharacterized zinc-type alcohol dehydrogenase-like protein [EC:1.-.-.-]|K09022---ridA, tdcF, RIDA; 2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]|K03564---BCP, PRXQ, DOT5; peroxiredoxin Q/BCP [EC:1.11.1.15]|K20938---ladA; long-chain alkane monooxygenase [EC:1.14.14.28]|K19265---gpr; L-glyceraldehyde 3-phosphate reductase [EC:1.1.1.-]|K07304---msrA; peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]|K02846---solA; N-methyl-L-tryptophan oxidase [EC:1.5.3.-]	12	up_nonPA
Exosome [BR:ko04147]	2.17538884107278e-08	5.09445745511319	K01897---ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]|K00088---IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]|K00036---G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]|K00036---G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]|K01803---TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]|K00864---glpK, GK; glycerol kinase [EC:2.7.1.30]|K01251---E3.3.1.1, ahcY; adenosylhomocysteinase [EC:3.3.1.1]|K01755---argH, ASL; argininosuccinate lyase [EC:4.3.2.1]|K01803---TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]|K01897---ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]|K07192---FLOT; flotillin|K00626---E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]|K01915---glnA, GLUL; glutamine synthetase [EC:6.3.1.2]	13	up_nonPA
General function prediction only	0	13.7158469945355	K06876---K06876; deoxyribodipyrimidine photolyase-related protein|K09858---K09858; SEC-C motif domain protein|K08986---ycgQ; putative membrane protein|K04750---phnB; PhnB protein|K03925---mraZ; MraZ protein	5	up_nonPA
Glutathione metabolism	0	13.7158469945355	K00031---IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]|K00036---G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]|K00036---G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]|K00033---PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]|K00432---gpx; glutathione peroxidase [EC:1.11.1.9]	5	up_nonPA
Homologous recombination	1.01803012015805e-05	6.85792349726776	K03111---ssb; single-strand DNA-binding protein|K02337---dnaE; DNA polymerase III subunit alpha [EC:2.7.7.7]|K02338---dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]|K02342---dnaQ; DNA polymerase III subunit epsilon [EC:2.7.7.7]|K02335---polA; DNA polymerase I [EC:2.7.7.7]	5	up_nonPA
Lipid biosynthesis proteins [BR:ko01004]	0	13.7158469945355	K01897---ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]|K00059---fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]|K00059---fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]|K01897---ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]|K09458---fabF; 3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]	5	up_nonPA
Mismatch repair	0	41.1475409836066	K03111---ssb; single-strand DNA-binding protein|K02337---dnaE; DNA polymerase III subunit alpha [EC:2.7.7.7]|K03657---uvrD, pcrA; DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]|K02338---dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]|K02342---dnaQ; DNA polymerase III subunit epsilon [EC:2.7.7.7]	5	up_nonPA
Quorum sensing	0	18.5163934426229	K01897---ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]|K01997---livH; branched-chain amino acid transport system permease protein|K02031---ABC.PE.A; peptide/nickel transport system ATP-binding protein|K02031---ABC.PE.A; peptide/nickel transport system ATP-binding protein|K02035---ABC.PE.S; peptide/nickel transport system substrate-binding protein|K02035---ABC.PE.S; peptide/nickel transport system substrate-binding protein|K03070---secA; preprotein translocase subunit SecA|K02035---ABC.PE.S; peptide/nickel transport system substrate-binding protein|K01897---ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]	9	up_nonPA
Transcription factors [BR:ko03000]	0	69.9508196721311	K09017---rutR; TetR/AcrR family transcriptional regulator|K03709---troR; DtxR family transcriptional regulator, Mn-dependent transcriptional regulator|K14063---feaR; AraC family transcriptional regulator, positive regulator of tynA and feaB|K16137---nemR; TetR/AcrR family transcriptional regulator, transcriptional repressor for nem operon|K06075---slyA; MarR family transcriptional regulator, transcriptional regulator for hemolysin|K06075---slyA; MarR family transcriptional regulator, transcriptional regulator for hemolysin|K16137---nemR; TetR/AcrR family transcriptional regulator, transcriptional repressor for nem operon|K13639---soxR; MerR family transcriptional regulator, redox-sensitive transcriptional activator SoxR|K06075---slyA; MarR family transcriptional regulator, transcriptional regulator for hemolysin|K03718---asnC; Lrp/AsnC family transcriptional regulator, regulator for asnA, asnC and gidA|K02624---pcaR; IclR family transcriptional regulator, pca regulon regulatory protein|K16137---nemR; TetR/AcrR family transcriptional regulator, transcriptional repressor for nem operon|K06075---slyA; MarR family transcriptional regulator, transcriptional regulator for hemolysin|K05799---pdhR; GntR family transcriptional regulator, transcriptional repressor for pyruvate dehydrogenase complex|K19337---hexR; RpiR family transcriptional regulator, carbohydrate utilization regulator|K19591---cueR; MerR family transcriptional regulator, copper efflux regulator|K03892---arsR; ArsR family transcriptional regulator, arsenate/arsenite/antimonite-responsive transcriptional repressor	17	up_nonPA
Transporters [BR:ko02000]	0	16.0671350507416	K17317---gtsC, glcG; glucose/mannose transport system permease protein|K09690---ABC-2.LPSE.P; lipopolysaccharide transport system permease protein|K11936---pgaC, icaA; poly-beta-1,6-N-acetyl-D-glucosamine synthase [EC:2.4.1.-]|K02003---ABC.CD.A; putative ABC transport system ATP-binding protein|K03282---mscL; large conductance mechanosensitive channel|K10441---rbsA; ribose transport system ATP-binding protein [EC:3.6.3.17]|K10543---xylF; D-xylose transport system substrate-binding protein|K01997---livH; branched-chain amino acid transport system permease protein|K02031---ABC.PE.A; peptide/nickel transport system ATP-binding protein|K02031---ABC.PE.A; peptide/nickel transport system ATP-binding protein|K17317---gtsC, glcG; glucose/mannose transport system permease protein|K03548---perM; putative permease|K02003---ABC.CD.A; putative ABC transport system ATP-binding protein|K02003---ABC.CD.A; putative ABC transport system ATP-binding protein|K06147---ABCB-BAC; ATP-binding cassette, subfamily B, bacterial|K10233---aglF, ggtC; alpha-glucoside transport system permease protein|K10232---aglE, ggtB; alpha-glucoside transport system substrate-binding protein|K08221---yitG, ymfD, yfmO; MFS transporter, ACDE family, multidrug resistance protein|K02004---ABC.CD.P; putative ABC transport system permease protein|K02003---ABC.CD.A; putative ABC transport system ATP-binding protein|K03321---TC.SULP; sulfate permease, SulP family|K08368---yaaU; MFS transporter, putative metabolite transport protein|K16784---bioM; biotin transport system ATP-binding protein [EC:3.6.3.-]|K02035---ABC.PE.S; peptide/nickel transport system substrate-binding protein|K02003---ABC.CD.A; putative ABC transport system ATP-binding protein|K06147---ABCB-BAC; ATP-binding cassette, subfamily B, bacterial|K03446---emrB; MFS transporter, DHA2 family, multidrug resistance protein|K02035---ABC.PE.S; peptide/nickel transport system substrate-binding protein|K10440---rbsC; ribose transport system permease protein|K06189---corC; magnesium and cobalt transporter|K02035---ABC.PE.S; peptide/nickel transport system substrate-binding protein|K07114---yfbK; Ca-activated chloride channel homolog|K03449---MFS.CP; MFS transporter, CP family, cyanate transporter|K08225---entS; MFS transporter, ENTS family, enterobactin (siderophore) exporter|K02003---ABC.CD.A; putative ABC transport system ATP-binding protein|K02004---ABC.CD.P; putative ABC transport system permease protein|K17317---gtsC, glcG; glucose/mannose transport system permease protein|K11189---PTS-HPR; phosphocarrier protein|K17317---gtsC, glcG; glucose/mannose transport system permease protein|K10441---rbsA; ribose transport system ATP-binding protein [EC:3.6.3.17]|K03446---emrB; MFS transporter, DHA2 family, multidrug resistance protein	41	up_nonPA
Two-component system	0	41.1475409836066	K07687---rcsB; two-component system, NarL family, captular synthesis response regulator RcsB|K07657---phoB; two-component system, OmpR family, phosphate regulon response regulator PhoB|K01467---ampC; beta-lactamase class C [EC:3.5.2.6]|K07657---phoB; two-component system, OmpR family, phosphate regulon response regulator PhoB|K01547---kdpB; K+-transporting ATPase ATPase B chain [EC:3.6.3.12]|K07687---rcsB; two-component system, NarL family, captular synthesis response regulator RcsB|K07657---phoB; two-component system, OmpR family, phosphate regulon response regulator PhoB|K07657---phoB; two-component system, OmpR family, phosphate regulon response regulator PhoB|K00626---E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]|K01915---glnA, GLUL; glutamine synthetase [EC:6.3.1.2]	10	up_nonPA
Two-component system [BR:ko02022]	0	9.87540983606557	K07687---rcsB; two-component system, NarL family, captular synthesis response regulator RcsB|K07657---phoB; two-component system, OmpR family, phosphate regulon response regulator PhoB|K07657---phoB; two-component system, OmpR family, phosphate regulon response regulator PhoB|K07687---rcsB; two-component system, NarL family, captular synthesis response regulator RcsB|K07657---phoB; two-component system, OmpR family, phosphate regulon response regulator PhoB|K07657---phoB; two-component system, OmpR family, phosphate regulon response regulator PhoB	6	up_nonPA
