	OG	KO.id	KO.description	L1_Col	L1_TSB	L1_FC	DEG	Plant Associated
cds100	OG0001554	K13788	pta; phosphate acetyltransferase [EC:2.3.1.8]	10.2060776856975	9.60259873414503	1.19953431147147	up	nonPA
cds1000	OG0000015	K02031	ABC.PE.A; peptide/nickel transport system ATP-binding protein	4.21018306905801	5.46611821542149	-0.464124939670905	nonDEG	nonPA
cds1001	OG0000104	K16568	exoZ; exopolysaccharide production protein ExoZ	9.88964167339582	11.0215994502058	-0.532368608997112	nonDEG	nonPA
cds1003	OG0000109			5.56071848771328	6.05873010657578	-1.74749053069847	nonDEG	nonPA
cds1004				9.29732274382172	7.40027191745228	2.51679016785602	up	nonPA
cds1005	OG0000374	K01414	prlC; oligopeptidase A [EC:3.4.24.70]	11.4679969287618	10.7914022781552	1.28207858001138	up	nonPA
cds1006	OG0000705	K03544	clpX; ATP-dependent Clp protease ATP-binding subunit ClpX	8.36145747808044	7.81783292224133	1.18290200436414	nonDEG	nonPA
cds1007	OG0000451	K01358	clpP; ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]	11.1978842007764	10.3374164898961	1.47874946905866	up	nonPA
cds1008	OG0000451	K01358	clpP; ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]	4.08093221990875	6.30372494933016	-1.77111665000336	nonDEG	nonPA
cds1009				8.78548460313123	10.7322993895204	-1.3446738751679	down	nonPA
cds1012	OG0000373			12.3513074933665	9.72102809713229	3.25304864813305	up	nonPA
cds1013	OG0000477	K04047	dps; starvation-inducible DNA-binding protein	5.77709093129813	6.97240817827711	-0.546826826017395	nonDEG	nonPA
cds1014	OG0000176			7.6140571772749	7.98854975909563	0.264468382586211	nonDEG	nonPA
cds1015	OG0000461	K10563	mutM; formamidopyrimidine-DNA glycosylase [EC:3.2.2.23 4.2.99.18]	6.96365923653311	8.19701036906706	-0.423492464931551	nonDEG	nonPA
cds1016	OG0001887	K01808	rpiB; ribose 5-phosphate isomerase B [EC:5.3.1.6]	8.7997586933319	8.30984758426222	1.08230791097797	nonDEG	nonPA
cds1017	OG0006236			9.6321346145028	11.0311933453764	-0.753446531948082	nonDEG	nonPA
cds1018	OG0000746	K01256	pepN; aminopeptidase N [EC:3.4.11.2]	6.16373562691547	6.03323457384559	0.000989776314849473	nonDEG	nonPA
cds1019	OG0000067	K07674	narQ; two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarQ [EC:2.7.13.3]	7.26115820585437	4.80207225467915	1.33055014067348	nonDEG	nonPA
cds1020	OG0000009	K07687	rcsB; two-component system, NarL family, captular synthesis response regulator RcsB	7.69325824083429	8.00729348538277	0.318498116136172	nonDEG	nonPA
cds1021	OG0000103	K22044	ybiO; moderate conductance mechanosensitive channel	5.18610845282537	5.14631598862344	-0.756255651411334	nonDEG	nonPA
cds1022	OG0003601	K06886	glbN; hemoglobin	5.23973717363799	5.15989091576463	0.895704470002072	nonDEG	nonPA
cds1023	OG0006237	K07077	uncharacterized protein	6.11386053008681	5.83969267775012	0.355442806427699	nonDEG	nonPA
cds1024	OG0006238			8.92470241895984	8.40025404206229	1.12786198509985	up	nonPA
cds1025	OG0001704	K10805	tesB; acyl-CoA thioesterase II [EC:3.1.2.-]	5.77107095354653	6.25193327445254	-1.32934264659236	nonDEG	nonPA
cds1026	OG0000480	K07107	ybgC; acyl-CoA thioester hydrolase [EC:3.1.2.-]	8.82901263973461	10.8130220513528	-1.38157783066502	down	nonPA
cds1027	OG0000193	K15738	uup; ABC transport system ATP-binding/permease protein	5.88264658260064	6.99299521059337	-2.32584406001006	nonDEG	PA
cds1029	OG0000303	K03111	ssb; single-strand DNA-binding protein	7.30344767815542	2.94733760782769	4.43546270627324	up	nonPA
cds103	OG0001720			8.69492350855703	7.21327881359905	2.08917588836832	up	nonPA
cds1030				9.98316690503182	8.72138945871945	1.85988366090204	up	nonPA
cds1031				8.00314491118116	7.15365835956226	1.4788217387181	up	nonPA
cds1032	OG0000510	K01916	nadE; NAD+ synthase [EC:6.3.1.5]	5.3106480292274	6.17717055960451	-0.625163966900398	nonDEG	nonPA
cds1033	OG0005093			7.85588545980403	7.88406092038258	0.729448433868685	nonDEG	nonPA
cds1034	OG0001696	K13288	orn; oligoribonuclease [EC:3.1.-.-]	3.01186526395419	6.94299751088655	-4.86284530518173	down	nonPA
cds1037				5.14568098843444	5.13830083063455	-1.30380886995306	nonDEG	nonPA
cds1038	OG0001886	K16785	ecfT; energy-coupling factor transport system permease protein	6.1711932355521	7.28018933210685	-0.499978790077833	nonDEG	nonPA
cds1039	OG0003979	K16786	ecfA1; energy-coupling factor transport system ATP-binding protein [EC:3.6.3.-]	6.57865737599759	8.72268329235016	-0.573392124509098	nonDEG	nonPA
cds104	OG0000151	K03924	moxR; MoxR-like ATPase [EC:3.6.3.-]	6.37114711650169	3.48920576956719	2.87250530840229	nonDEG	PA
cds1040	OG0005122	K16925	ykoE; energy-coupling factor transport system substrate-specific component	6.8864412764184	5.30901630911296	1.49119902656622	nonDEG	PA
cds1041				6.00849291506258	6.1209987451461	1.09979935559292	nonDEG	nonPA
cds1042	OG0000478	K02346	dinB; DNA polymerase IV [EC:2.7.7.7]	5.57354138788644	7.9304881268637	-1.1010539719809	nonDEG	nonPA
cds1043	OG0005166			6.01186526395419	4.1283850495032	0.883449697715599	nonDEG	nonPA
cds1044	OG0006328			8.20256875939589	9.94211931294104	-1.04405749417481	nonDEG	nonPA
cds1045	OG0001558	K02434	gatB; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]	7.96319482476649	9.5675103431087	-1.00748287625824	down	nonPA
cds1046	OG0000087	K02433	gatA; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]	5.55519426670045	7.76578001459588	-1.59004713141361	nonDEG	nonPA
cds1047	OG0001559	K02435	gatC; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C [EC:6.3.5.6 6.3.5.7]	7.86280497985963	8.59494017657529	-0.110354110925504	nonDEG	nonPA
cds1048	OG0000030	K01897	ACSL; long-chain acyl-CoA synthetase [EC:6.2.1.3]	9.09080660014843	7.82213425948575	1.93499390503282	up	nonPA
cds1049	OG0000692	K01972	E6.5.1.2; DNA ligase (NAD+) [EC:6.5.1.2]	8.78728496134241	8.34756077127863	1.02687289702934	nonDEG	nonPA
cds105	OG0002297			5.55519426670045	4.56333657667934	2.03689018306434	nonDEG	nonPA
cds1050	OG0000438	K08368	yaaU; MFS transporter, putative metabolite transport protein	7.79783441822152	8.31596962126788	0.226662069691288	nonDEG	nonPA
cds1051	OG0000800	K00566	mnmA; tRNA-uridine 2-sulfurtransferase [EC:2.8.1.13]	7.09949907986472	7.92539544435989	-0.0766272145874137	nonDEG	nonPA
cds1052	OG0000281	K04487	iscS; cysteine desulfurase [EC:2.8.1.7]	8.37863424496046	9.31662113568839	-0.336815483998782	nonDEG	nonPA
cds1053	OG0000539	K01214	ISA; isoamylase [EC:3.2.1.68]	5.60114595210422	3.90424326884604	0.82943142199063	nonDEG	nonPA
cds1054	OG0001434	K03976	ybaK; Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase [EC:3.1.1.-]	7.05033654242387	7.7165152355071	-0.0614659617769629	nonDEG	PA
cds1055	OG0001313	K00688	PYG; glycogen phosphorylase [EC:2.4.1.1]	9.13491954828792	8.87927307411534	1.09421982053246	nonDEG	nonPA
cds1056	OG0001568	K16147	glgE; starch synthase (maltosyl-transferring) [EC:2.4.99.16]	8.60397977680176	7.80883408829403	1.44329534117053	up	nonPA
cds1057	OG0001201	K00700	GBE1; 1,4-alpha-glucan branching enzyme [EC:2.4.1.18]	5.59898685838978	8.48627473008119	-2.47898784410428	nonDEG	nonPA
cds1058	OG0000092	K03671	trxA; thioredoxin 1	8.67327739401553	9.7431434076706	-0.448042354664279	nonDEG	nonPA
cds1059	OG0006239			6.88852760003379	7.7702901575808	-0.245797170380883	nonDEG	nonPA
cds106	OG0000385			6.91875585956271	4.11765824758682	1.71258271371827	nonDEG	nonPA
cds1060	OG0001556	K07018	uncharacterized protein	8.91807461084966	9.25678514210928	0.265618355543716	nonDEG	PA
cds1061	OG0006329			6.88852760003379	8.1013921218362	-0.317279453772401	nonDEG	nonPA
cds1062	OG0005121			6.89450156936621	7.51168976870251	0.205147042200223	nonDEG	nonPA
cds1063	OG0006147			8.86534149104667	9.61630757589321	-0.145913963626901	nonDEG	nonPA
cds1064	OG0000870	K00981	E2.7.7.41; phosphatidate cytidylyltransferase [EC:2.7.7.41]	7.26035333917377	8.75337632156352	-0.652690845255418	nonDEG	nonPA
cds1065	OG0000869	K02838	frr; ribosome recycling factor	7.45994277258916	10.324603506296	-2.23213453642233	down	nonPA
cds1066	OG0000868	K09903	pyrH; uridylate kinase [EC:2.7.4.22]	8.49843517839581	12.1979123812623	-3.04095897547646	down	nonPA
cds1068	OG0000867	K02967	RP-S2; small subunit ribosomal protein S2	8.35603345426769	5.96621684619876	1.42184908222252	nonDEG	nonPA
cds107	OG0000011	K06075	slyA; MarR family transcriptional regulator, transcriptional regulator for hemolysin	4.89146810875036	5.09755807749755	0.139105640979804	nonDEG	nonPA
cds1072	OG0001411	K07391	comM; magnesium chelatase family protein	7.18809178030913	8.19102170437345	-0.913927265009681	nonDEG	nonPA
cds1073	OG0001055	K07460	yraN; putative endonuclease	6.14568098843444	5.24733901116879	-0.338715676546419	nonDEG	nonPA
cds1074	OG0006148			8.18868237551682	9.3831945509858	-0.499974674548932	nonDEG	nonPA
